SKU,中文名称,规格,品类,来源
BML117001,红色LEONA沐浴露,400 ml,沐浴露,单品列
BML122001,紫棕EMMA沐浴露,400 ml,沐浴露,单品列
BSR111001,红色身体乳300ml,300 ml,身体乳,单品列
BSR111002,红色身体乳180ml,180 ml,身体乳,单品列
BSR112001,粉色身体乳300ml,300 ml,身体乳,单品列
BSR112002,粉色身体乳180ml,180 ml,身体乳,单品列
BSR113001,黄色身体乳300ml,300 ml,身体乳,单品列
BSR113002,黄色身体乳180ml,180 ml,身体乳,单品列
BSR114001,绿色身体乳300ml,300 ml,身体乳,单品列
BSR114002,绿色身体乳180ml,180 ml,身体乳,单品列
BSR115001,蓝色身体乳300ml,300 ml,身体乳,单品列
BSR115002,蓝色身体乳180ml,180 ml,身体乳,单品列
BSR116001,紫棕身体乳300ml,300 ml,身体乳,单品列
BSR116002,紫棕身体乳180ml,180 ml,身体乳,单品列
BXS001001,红色LEONA香水,30 ml,香水,单品列
BXS002001,粉色PHOEBE香水,30 ml,香水,单品列
BXS003001,黄色EDITH香水,30 ml,香水,单品列
BXS004001,绿色ALICE香水,30 ml,香水,单品列
BXS005001,蓝色SOLEIL香水,30 ml,香水,单品列
BXS006001,紫棕EMMA香水,30 ml,香水,单品列
BXS007001,银色BLAIR香水,30 ml,香水,单品列
BXS008001,浅粉EVA香水,30 ml,香水,单品列
BXS009001,橘色MABEL香水,30 ml,香水,单品列
BXS010001,浅紫ROXIE香水,30 ml,香水,单品列
BXS011001,灰蓝NOVA香水,30 ml,香水,单品列
BXS012001,青色AURORA香水,30 ml,香水,单品列
BXS013,深红AFFECTION香水,30 ml,香水,单品列+Bundle列修正;用户确认别名
BXS014,金色EUPHORIA香水,30 ml,香水,单品列+Bundle列修正;用户确认别名
BXS015,银色EMPOWER香水,30 ml,香水,单品列+Bundle列修正;用户确认别名
BXS017001,白色ALLURE香水,30 ml,香水,单品列+Bundle列修正;用户确认别名
BXSA001,红色LEONA香水,30 ml,香水,单品列;用户确认别名
BXSA002,粉色PHOEBE香水,30 ml,香水,单品列;用户确认别名
BXW201001,红色LEONA喷雾170 ml,170 ml,香氛喷雾,单品列
BXW202001,粉色PHOEBE喷雾170ml,170 ml,香氛喷雾,单品列
BXW203001,黄色EDITH喷雾170ml,170 ml,香氛喷雾,单品列
BXW204001,绿色ALICE喷雾170ml,170 ml,香氛喷雾,单品列
BXW205001,蓝色SOLEIL喷雾170ml,170 ml,香氛喷雾,单品列
BXW206001,紫棕EMMA喷雾170ml,170 ml,香氛喷雾,单品列
