规则,SKU组合,中文名称,清仓价
① 单品-身体乳180ml清仓,BSR112002,粉色身体乳180ml,38000
① 单品-身体乳180ml清仓,BSR113002,黄色身体乳180ml,38000
① 单品-身体乳180ml清仓,BSR116002,紫棕身体乳180ml,38000
② 单品-身体乳300ml清仓,BSR112001,粉色身体乳300ml,59000
② 单品-身体乳300ml清仓,BSR113001,黄色身体乳300ml,59000
② 单品-身体乳300ml清仓,BSR116001,紫棕身体乳300ml,59000
③ 身体乳180ml*2-三款混搭,BSR112002+BSR112002,粉色身体乳180ml+粉色身体乳180ml,60000
③ 身体乳180ml*2-三款混搭,BSR112002+BSR113002,粉色身体乳180ml+黄色身体乳180ml,60000
③ 身体乳180ml*2-三款混搭,BSR112002+BSR116002,粉色身体乳180ml+紫棕身体乳180ml,60000
③ 身体乳180ml*2-三款混搭,BSR113002+BSR113002,黄色身体乳180ml+黄色身体乳180ml,60000
③ 身体乳180ml*2-三款混搭,BSR113002+BSR116002,黄色身体乳180ml+紫棕身体乳180ml,60000
③ 身体乳180ml*2-三款混搭,BSR116002+BSR116002,紫棕身体乳180ml+紫棕身体乳180ml,60000
④ 身体乳180ml*2-五款混搭新增,BSR112002+BSR111002,粉色身体乳180ml+红色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR112002+BSR114002,粉色身体乳180ml+绿色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR113002+BSR111002,黄色身体乳180ml+红色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR113002+BSR114002,黄色身体乳180ml+绿色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR116002+BSR111002,紫棕身体乳180ml+红色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR116002+BSR114002,紫棕身体乳180ml+绿色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR111002+BSR111002,红色身体乳180ml+红色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR111002+BSR114002,红色身体乳180ml+绿色身体乳180ml,70000
④ 身体乳180ml*2-五款混搭新增,BSR114002+BSR114002,绿色身体乳180ml+绿色身体乳180ml,70000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR112002,黄色EDITH香水+粉色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR113002,黄色EDITH香水+黄色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR116002,黄色EDITH香水+紫棕身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR111002,黄色EDITH香水+红色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR114002,黄色EDITH香水+绿色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR112002,绿色ALICE香水+粉色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR113002,绿色ALICE香水+黄色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR116002,绿色ALICE香水+紫棕身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR111002,绿色ALICE香水+红色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR114002,绿色ALICE香水+绿色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS005001+BSR112002,蓝色SOLEIL香水+粉色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS005001+BSR113002,蓝色SOLEIL香水+黄色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS005001+BSR116002,蓝色SOLEIL香水+紫棕身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS005001+BSR111002,蓝色SOLEIL香水+红色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS005001+BSR114002,蓝色SOLEIL香水+绿色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR112002,紫棕EMMA香水+粉色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR113002,紫棕EMMA香水+黄色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR116002,紫棕EMMA香水+紫棕身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR111002,紫棕EMMA香水+红色身体乳180ml,109000
⑤ 2pcs-清仓常规香水+身体乳180ml,BXS006001+BSR114002,紫棕EMMA香水+绿色身体乳180ml,109000
