Bundle编码,规则,SKU组合,中文名称,清仓价,匹配状态,来源Bundle
,① 单品-身体乳180ml清仓,BSR112002,粉色身体乳180ml,38000,单品无需Bundle编码,
,① 单品-身体乳180ml清仓,BSR113002,黄色身体乳180ml,38000,单品无需Bundle编码,
,① 单品-身体乳180ml清仓,BSR116002,紫棕身体乳180ml,38000,单品无需Bundle编码,
,② 单品-身体乳300ml清仓,BSR112001,粉色身体乳300ml,59000,单品无需Bundle编码,
,② 单品-身体乳300ml清仓,BSR113001,黄色身体乳300ml,59000,单品无需Bundle编码,
,② 单品-身体乳300ml清仓,BSR116001,紫棕身体乳300ml,59000,单品无需Bundle编码,
B-2P0G-0151000137,③ 身体乳180ml*2-三款混搭,BSR112002+BSR112002,粉色身体乳180ml+粉色身体乳180ml,60000,已匹配,BSR112002+BSR112002
B-2P0G-0151000141,③ 身体乳180ml*2-三款混搭,BSR112002+BSR113002,粉色身体乳180ml+黄色身体乳180ml,60000,已匹配,BSR112002+BSR113002
B-2P0G-0151000143,③ 身体乳180ml*2-三款混搭,BSR112002+BSR116002,粉色身体乳180ml+紫棕身体乳180ml,60000,已匹配,BSR112002+BSR116002
B-2P0G-0151000138,③ 身体乳180ml*2-三款混搭,BSR113002+BSR113002,黄色身体乳180ml+黄色身体乳180ml,60000,已匹配,BSR113002+BSR113002
B-2P0G-0151000145,③ 身体乳180ml*2-三款混搭,BSR113002+BSR116002,黄色身体乳180ml+紫棕身体乳180ml,60000,已匹配,BSR113002+BSR116002
B-2P0G-0151000140,③ 身体乳180ml*2-三款混搭,BSR116002+BSR116002,紫棕身体乳180ml+紫棕身体乳180ml,60000,已匹配,BSR116002+BSR116002
B-2P0G-0151000152,④ 身体乳180ml*2-五款混搭新增,BSR112002+BSR111002,粉色身体乳180ml+红色身体乳180ml,70000,已匹配,BSR111002+BSR112002
B-2P0G-0151000142,④ 身体乳180ml*2-五款混搭新增,BSR112002+BSR114002,粉色身体乳180ml+绿色身体乳180ml,70000,已匹配,BSR112002+BSR114002
B-2P0G-0151000153,④ 身体乳180ml*2-五款混搭新增,BSR113002+BSR111002,黄色身体乳180ml+红色身体乳180ml,70000,已匹配,BSR111002+BSR113002
B-2P0G-0151000144,④ 身体乳180ml*2-五款混搭新增,BSR113002+BSR114002,黄色身体乳180ml+绿色身体乳180ml,70000,已匹配,BSR113002+BSR114002
B-2P0G-0151000155,④ 身体乳180ml*2-五款混搭新增,BSR116002+BSR111002,紫棕身体乳180ml+红色身体乳180ml,70000,已匹配,BSR111002+BSR116002
B-2P0G-0151000146,④ 身体乳180ml*2-五款混搭新增,BSR116002+BSR114002,紫棕身体乳180ml+绿色身体乳180ml,70000,已匹配,BSR114002+BSR116002
B-2P0G-0151000156,④ 身体乳180ml*2-五款混搭新增,BSR111002+BSR111002,红色身体乳180ml+红色身体乳180ml,70000,已匹配,BSR111002+BSR111002
B-2P0G-0151000154,④ 身体乳180ml*2-五款混搭新增,BSR111002+BSR114002,红色身体乳180ml+绿色身体乳180ml,70000,已匹配,BSR111002+BSR114002
B-2P0G-0151000139,④ 身体乳180ml*2-五款混搭新增,BSR114002+BSR114002,绿色身体乳180ml+绿色身体乳180ml,70000,已匹配,BSR114002+BSR114002
B-2P0G-0149000223,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR112002,黄色EDITH香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS003001
B-2P0G-0149000131,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR113002,黄色EDITH香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS003001
B-2P0G-0149000225,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR116002,黄色EDITH香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS003001
B-2P0G-0149000498,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR111002,黄色EDITH香水+红色身体乳180ml,109000,已匹配,BSR111002+BXS003001
B-2P0G-0149000224,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS003001+BSR114002,黄色EDITH香水+绿色身体乳180ml,109000,已匹配,BSR114002+BXS003001
B-2P0G-0149000226,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR112002,绿色ALICE香水+粉色身体乳180ml,109000,已匹配,BSR112002+BXS004001
B-2P0G-0149000227,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR113002,绿色ALICE香水+黄色身体乳180ml,109000,已匹配,BSR113002+BXS004001
B-2P0G-0149000228,⑤ 2pcs-清仓常规香水+身体乳180ml,BXS004001+BSR116002,绿色ALICE香水+紫棕身体乳180ml,109000,已匹配,BSR116002+BXS004001
